file,variant,usage,source_pdf,source_page,size,bytes,crop,rights
space-60m-kitchen-960w.webp,mobile,首页产品氛围 / 产品详情空间图（厨房）,半打60m²(灰度空间)方案-0914.pdf,p08,960x644,63008,无裁切，等比缩放,已确认可用（主管首批决策）
space-60m-kitchen.jpg,jpg-fallback,首页产品氛围 / 产品详情空间图（厨房）,半打60m²(灰度空间)方案-0914.pdf,p08,1920x1288,350714,无裁切，等比缩放,已确认可用（主管首批决策）
space-60m-bath.webp,desktop,首页产品氛围 / 产品详情空间图（卫浴）,半打60m²(灰度空间)方案-0914.pdf,p09,1920x1288,183364,无裁切，等比缩放,已确认可用（主管首批决策）
space-60m-bath-960w.webp,mobile,首页产品氛围 / 产品详情空间图（卫浴）,半打60m²(灰度空间)方案-0914.pdf,p09,960x644,65040,无裁切，等比缩放,已确认可用（主管首批决策）
space-60m-bath.jpg,jpg-fallback,首页产品氛围 / 产品详情空间图（卫浴）,半打60m²(灰度空间)方案-0914.pdf,p09,1920x1288,356879,无裁切，等比缩放,已确认可用（主管首批决策）
space-60m-laundry.webp,desktop,首页产品氛围 / 产品详情空间图（家政）,半打60m²(灰度空间)方案-0914.pdf,p10,1920x1288,145184,无裁切，等比缩放,已确认可用（主管首批决策）
space-60m-laundry-960w.webp,mobile,首页产品氛围 / 产品详情空间图（家政）,半打60m²(灰度空间)方案-0914.pdf,p10,960x644,49818,无裁切，等比缩放,已确认可用（主管首批决策）
space-60m-laundry.jpg,jpg-fallback,首页产品氛围 / 产品详情空间图（家政）,半打60m²(灰度空间)方案-0914.pdf,p10,1920x1288,290610,无裁切，等比缩放,已确认可用（主管首批决策）
space-60m-bedroom.webp,desktop,首页产品氛围 / 产品详情空间图（卧室）,半打60m²(灰度空间)方案-0914.pdf,p11,1920x1288,90704,无裁切，等比缩放,已确认可用（主管首批决策）
space-60m-bedroom-960w.webp,mobile,首页产品氛围 / 产品详情空间图（卧室）,半打60m²(灰度空间)方案-0914.pdf,p11,960x644,34236,无裁切，等比缩放,已确认可用（主管首批决策）
space-60m-bedroom.jpg,jpg-fallback,首页产品氛围 / 产品详情空间图（卧室）,半打60m²(灰度空间)方案-0914.pdf,p11,1920x1288,224676,无裁切，等比缩放,已确认可用（主管首批决策）
product-bd8-hero.webp,desktop,BD8 产品详情主图 16:9,“半打风系列”产品图册（轻奢款） .pdf,p13,1920x1080,188784,16:9 居中裁切,需确认：画面含第三方车辆，建议业务确认后上线
product-bd8-hero-960w.webp,mobile,BD8 产品详情主图 16:9,“半打风系列”产品图册（轻奢款） .pdf,p13,960x540,69432,16:9 居中裁切,需确认：画面含第三方车辆，建议业务确认后上线
product-bd8-hero.jpg,jpg-fallback,BD8 产品详情主图 16:9,“半打风系列”产品图册（轻奢款） .pdf,p13,1920x1080,335371,16:9 居中裁切,需确认：画面含第三方车辆，建议业务确认后上线
product-bd8-card.webp,desktop,BD8 产品列表卡片 4:3,“半打风系列”产品图册（轻奢款） .pdf,p13,1200x900,98104,"4:3 居中裁切 focus=(0.5,0.45)",需确认：画面含第三方车辆，建议业务确认后上线
product-bd8-card-960w.webp,mobile,BD8 产品列表卡片 4:3,“半打风系列”产品图册（轻奢款） .pdf,p13,800x600,55624,"4:3 居中裁切 focus=(0.5,0.45)",需确认：画面含第三方车辆，建议业务确认后上线
product-bd8-card.jpg,jpg-fallback,BD8 产品列表卡片 4:3,“半打风系列”产品图册（轻奢款） .pdf,p13,1200x900,173264,"4:3 居中裁切 focus=(0.5,0.45)",需确认：画面含第三方车辆，建议业务确认后上线
product-bd8-interior-01.webp,desktop,BD8 室内空间辅图,“半打风系列”产品图册（轻奢款） .pdf,p13,1281x870,74056,无裁切，等比缩放,已确认可用（主管首批决策）
product-bd8-interior-01-960w.webp,mobile,BD8 室内空间辅图,“半打风系列”产品图册（轻奢款） .pdf,p13,960x652,50376,无裁切，等比缩放,已确认可用（主管首批决策）
product-bd8-interior-01.jpg,jpg-fallback,BD8 室内空间辅图,“半打风系列”产品图册（轻奢款） .pdf,p13,1281x870,152677,无裁切，等比缩放,已确认可用（主管首批决策）
product-bd9-hero.webp,desktop,BD9 产品详情主图 16:9,“半打风系列”产品图册（轻奢款） .pdf,p14,1920x1080,300140,16:9 居中裁切,需确认：画面含第三方车辆，建议业务确认后上线
product-bd9-hero-960w.webp,mobile,BD9 产品详情主图 16:9,“半打风系列”产品图册（轻奢款） .pdf,p14,960x540,83496,16:9 居中裁切,需确认：画面含第三方车辆，建议业务确认后上线
product-bd9-hero.jpg,jpg-fallback,BD9 产品详情主图 16:9,“半打风系列”产品图册（轻奢款） .pdf,p14,1920x1080,401934,16:9 居中裁切,需确认：画面含第三方车辆，建议业务确认后上线
product-bd9-card.webp,desktop,BD9 产品列表卡片 4:3,“半打风系列”产品图册（轻奢款） .pdf,p14,1200x900,149734,"4:3 居中裁切 focus=(0.5,0.45)",需确认：画面含第三方车辆，建议业务确认后上线
product-bd9-card-960w.webp,mobile,BD9 产品列表卡片 4:3,“半打风系列”产品图册（轻奢款） .pdf,p14,800x600,71946,"4:3 居中裁切 focus=(0.5,0.45)",需确认：画面含第三方车辆，建议业务确认后上线
product-bd9-card.jpg,jpg-fallback,BD9 产品列表卡片 4:3,“半打风系列”产品图册（轻奢款） .pdf,p14,1200x900,205835,"4:3 居中裁切 focus=(0.5,0.45)",需确认：画面含第三方车辆，建议业务确认后上线
product-bd9-floorplan.webp,desktop,BD9 户型图辅图,“半打风系列”产品图册（轻奢款） .pdf,p14,1395x810,66782,无裁切，等比缩放,需确认：含中文房间标注与尺寸线的户型图，确认是否公开
product-bd9-floorplan-960w.webp,mobile,BD9 户型图辅图,“半打风系列”产品图册（轻奢款） .pdf,p14,960x557,43694,无裁切，等比缩放,需确认：含中文房间标注与尺寸线的户型图，确认是否公开
product-bd9-floorplan.jpg,jpg-fallback,BD9 户型图辅图,“半打风系列”产品图册（轻奢款） .pdf,p14,1395x810,151180,无裁切，等比缩放,需确认：含中文房间标注与尺寸线的户型图，确认是否公开
